OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[10]: -43759960#0
OMNET-car[2] - SUMO-car[100]: 7971522#4
OMNET-car[3] - SUMO-car[101]: 7971522#4
OMNET-car[4] - SUMO-car[102]: 7971522#6
OMNET-car[5] - SUMO-car[103]: 7971522#6
OMNET-car[6] - SUMO-car[104]: 7971522#6
OMNET-car[7] - SUMO-car[105]: 7971522#6
OMNET-car[8] - SUMO-car[106]: 7971522#9
OMNET-car[9] - SUMO-car[107]: 7971522#9
OMNET-car[10] - SUMO-car[108]: 7971522#9
OMNET-car[11] - SUMO-car[109]: 7971522#9
OMNET-car[12] - SUMO-car[11]: -43759960#0
OMNET-car[13] - SUMO-car[110]: 8029920#1
OMNET-car[14] - SUMO-car[111]: 8029920#1
OMNET-car[15] - SUMO-car[112]: 8029920#1
OMNET-car[16] - SUMO-car[113]: 8029920#1
OMNET-car[17] - SUMO-car[114]: 8029920#2
OMNET-car[18] - SUMO-car[115]: 8029920#2
OMNET-car[19] - SUMO-car[116]: 8029920#2
OMNET-car[20] - SUMO-car[117]: 8029920#2
OMNET-car[21] - SUMO-car[118]: 8029920#3
OMNET-car[22] - SUMO-car[119]: 8029920#3
OMNET-car[23] - SUMO-car[12]: -43759962#0
OMNET-car[24] - SUMO-car[120]: 8029920#3
OMNET-car[25] - SUMO-car[121]: 8029920#3
OMNET-car[26] - SUMO-car[122]: 8029920#4
OMNET-car[27] - SUMO-car[123]: 8029920#4
OMNET-car[28] - SUMO-car[124]: 8029920#4
OMNET-car[29] - SUMO-car[125]: 8029920#4
OMNET-car[30] - SUMO-car[126]: 8029920#6
OMNET-car[31] - SUMO-car[127]: 8029920#6
OMNET-car[32] - SUMO-car[128]: 8029920#6
OMNET-car[33] - SUMO-car[129]: 8029920#6
OMNET-car[34] - SUMO-car[13]: -43759962#0
OMNET-car[35] - SUMO-car[130]: 8029920#8
OMNET-car[36] - SUMO-car[131]: 8029920#8
OMNET-car[37] - SUMO-car[132]: 8029920#8
OMNET-car[38] - SUMO-car[133]: 8029920#8
OMNET-car[39] - SUMO-car[134]: 8029934#10
OMNET-car[40] - SUMO-car[135]: 8029934#10
OMNET-car[41] - SUMO-car[136]: 8029934#10
OMNET-car[42] - SUMO-car[137]: 8029934#10
OMNET-car[43] - SUMO-car[138]: 8029934#13
OMNET-car[44] - SUMO-car[139]: 8029934#13
OMNET-car[45] - SUMO-car[14]: -43759962#0
OMNET-car[46] - SUMO-car[140]: 8029934#13
OMNET-car[47] - SUMO-car[141]: 8029934#13
OMNET-car[48] - SUMO-car[142]: 8029934#15
OMNET-car[49] - SUMO-car[143]: 8029934#15
OMNET-car[50] - SUMO-car[144]: 8029934#15
OMNET-car[51] - SUMO-car[145]: 8029934#15
OMNET-car[52] - SUMO-car[146]: 8029934#16
OMNET-car[53] - SUMO-car[147]: 8029934#16
OMNET-car[54] - SUMO-car[148]: 8029934#16
OMNET-car[55] - SUMO-car[149]: 8029934#16
OMNET-car[56] - SUMO-car[15]: -43759962#0
OMNET-car[57] - SUMO-car[150]: 83668209#1
OMNET-car[58] - SUMO-car[151]: 83668209#1
OMNET-car[59] - SUMO-car[152]: 83668209#1
OMNET-car[60] - SUMO-car[153]: 83668209#1
OMNET-car[61] - SUMO-car[154]: 83668215#0
OMNET-car[62] - SUMO-car[155]: 83668215#0
OMNET-car[63] - SUMO-car[156]: 83668215#0
OMNET-car[64] - SUMO-car[157]: 83668215#0
OMNET-car[65] - SUMO-car[158]: 868615045#1
OMNET-car[66] - SUMO-car[159]: 868615045#1
OMNET-car[67] - SUMO-car[16]: -83668209#1
OMNET-car[68] - SUMO-car[160]: 868615045#1
OMNET-car[69] - SUMO-car[161]: 868615045#1
OMNET-car[70] - SUMO-car[162]: 868615045#2
OMNET-car[71] - SUMO-car[163]: 868615045#2
OMNET-car[72] - SUMO-car[164]: 868615045#2
OMNET-car[73] - SUMO-car[165]: 868615045#2
OMNET-car[74] - SUMO-car[166]: 868615045#4
OMNET-car[75] - SUMO-car[167]: 868615045#4
OMNET-car[76] - SUMO-car[168]: 868615045#4
OMNET-car[77] - SUMO-car[169]: 868615045#4
OMNET-car[78] - SUMO-car[17]: -83668209#1
OMNET-car[79] - SUMO-car[170]: 868615045#6
OMNET-car[80] - SUMO-car[171]: 868615045#6
OMNET-car[81] - SUMO-car[172]: 868615045#6
OMNET-car[82] - SUMO-car[173]: 868615045#6
OMNET-car[83] - SUMO-car[174]: 868615046#1
OMNET-car[84] - SUMO-car[175]: 868615046#1
