OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[1]: -195664261#0
OMNET-car[2] - SUMO-car[10]: -26568013#1
OMNET-car[3] - SUMO-car[100]: 24222380#7
OMNET-car[4] - SUMO-car[101]: 24222380#7
OMNET-car[5] - SUMO-car[102]: 24791395#1
OMNET-car[6] - SUMO-car[103]: 24791395#1
OMNET-car[7] - SUMO-car[104]: 24791395#1
OMNET-car[8] - SUMO-car[105]: 24791395#1
OMNET-car[9] - SUMO-car[106]: 24791395#1
OMNET-car[10] - SUMO-car[107]: 24791395#1
OMNET-car[11] - SUMO-car[108]: 24791395#1
OMNET-car[12] - SUMO-car[109]: 24791395#1
OMNET-car[13] - SUMO-car[11]: -392502706
OMNET-car[14] - SUMO-car[110]: 24791395#1
OMNET-car[15] - SUMO-car[111]: 24791395#1
OMNET-car[16] - SUMO-car[112]: 24791395#4
OMNET-car[17] - SUMO-car[113]: 24791395#4
OMNET-car[18] - SUMO-car[114]: 24791395#4
OMNET-car[19] - SUMO-car[115]: 24791406#1
OMNET-car[20] - SUMO-car[116]: 24791406#1
OMNET-car[21] - SUMO-car[117]: 24791406#4
OMNET-car[22] - SUMO-car[118]: 24791417#1
OMNET-car[23] - SUMO-car[119]: 24791417#1
OMNET-car[24] - SUMO-car[12]: -43759960#0
OMNET-car[25] - SUMO-car[120]: 24791417#1
OMNET-car[26] - SUMO-car[121]: 248905968
OMNET-car[27] - SUMO-car[122]: 255327642#9
OMNET-car[28] - SUMO-car[123]: 255327642#9
OMNET-car[29] - SUMO-car[124]: 255327642#9
OMNET-car[30] - SUMO-car[125]: 255327642#9
OMNET-car[31] - SUMO-car[126]: 255327642#9
OMNET-car[32] - SUMO-car[127]: 255327642#9
OMNET-car[33] - SUMO-car[128]: 255327642#9
OMNET-car[34] - SUMO-car[129]: 255327642#9
OMNET-car[35] - SUMO-car[13]: -43759960#0
OMNET-car[36] - SUMO-car[130]: 255327642#9
OMNET-car[37] - SUMO-car[131]: 255327642#9
OMNET-car[38] - SUMO-car[132]: 255327642#9
OMNET-car[39] - SUMO-car[133]: 255327642#9
OMNET-car[40] - SUMO-car[134]: 27173565#3
OMNET-car[41] - SUMO-car[135]: 27173565#3
OMNET-car[42] - SUMO-car[136]: 302644186#1
OMNET-car[43] - SUMO-car[137]: 302644186#1
OMNET-car[44] - SUMO-car[138]: 302644186#1
OMNET-car[45] - SUMO-car[139]: 302644186#1
OMNET-car[46] - SUMO-car[14]: -43759960#0
OMNET-car[47] - SUMO-car[140]: 302644186#1
OMNET-car[48] - SUMO-car[141]: 302644186#4
OMNET-car[49] - SUMO-car[142]: 302644186#4
OMNET-car[50] - SUMO-car[143]: 302644186#4
OMNET-car[51] - SUMO-car[144]: 302644186#4
OMNET-car[52] - SUMO-car[145]: 302644186#4
OMNET-car[53] - SUMO-car[146]: 302644186#7
OMNET-car[54] - SUMO-car[147]: 302644186#7
OMNET-car[55] - SUMO-car[148]: 302644186#7
OMNET-car[56] - SUMO-car[149]: 303407852#5
OMNET-car[57] - SUMO-car[15]: -83668209#1
