OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[10]: -26568013#1
OMNET-car[2] - SUMO-car[100]: 27173565#3
OMNET-car[3] - SUMO-car[101]: 302644186#1
OMNET-car[4] - SUMO-car[102]: 302644186#1
OMNET-car[5] - SUMO-car[103]: 302644186#4
OMNET-car[6] - SUMO-car[104]: 302644186#4
OMNET-car[7] - SUMO-car[105]: 302644186#7
OMNET-car[8] - SUMO-car[106]: 302644186#7
OMNET-car[9] - SUMO-car[107]: 303407852#5
OMNET-car[10] - SUMO-car[108]: 303407852#5
OMNET-car[11] - SUMO-car[109]: 334741193#0
OMNET-car[12] - SUMO-car[110]: 334741193#0
OMNET-car[13] - SUMO-car[111]: 334741193#2
OMNET-car[14] - SUMO-car[112]: 334741193#2
OMNET-car[15] - SUMO-car[113]: 334741193#3
OMNET-car[16] - SUMO-car[114]: 334741193#3
OMNET-car[17] - SUMO-car[115]: 334741193#7
OMNET-car[18] - SUMO-car[116]: 334741193#7
OMNET-car[19] - SUMO-car[117]: 334741193#8
OMNET-car[20] - SUMO-car[118]: 334741193#8
OMNET-car[21] - SUMO-car[119]: 334741194
OMNET-car[22] - SUMO-car[12]: -27173565#2
OMNET-car[23] - SUMO-car[120]: 334741194
OMNET-car[24] - SUMO-car[121]: 363359196#0
OMNET-car[25] - SUMO-car[122]: 363359196#0
OMNET-car[26] - SUMO-car[123]: 384969638#1
OMNET-car[27] - SUMO-car[124]: 384969638#1
OMNET-car[28] - SUMO-car[125]: 392502704#0
OMNET-car[29] - SUMO-car[126]: 392502704#0
OMNET-car[30] - SUMO-car[127]: 392502705#0
OMNET-car[31] - SUMO-car[128]: 392502705#1
OMNET-car[32] - SUMO-car[129]: 392502705#1
OMNET-car[33] - SUMO-car[13]: -27173565#2
OMNET-car[34] - SUMO-car[130]: 392502706
OMNET-car[35] - SUMO-car[131]: 43410335#1
OMNET-car[36] - SUMO-car[132]: 43410335#1
OMNET-car[37] - SUMO-car[133]: 43759960#0
OMNET-car[38] - SUMO-car[134]: 43759960#0
OMNET-car[39] - SUMO-car[135]: 43759962#0
OMNET-car[40] - SUMO-car[136]: 43759962#0
OMNET-car[41] - SUMO-car[137]: 44737274#1
OMNET-car[42] - SUMO-car[138]: 44737274#2
OMNET-car[43] - SUMO-car[139]: 44737274#2
OMNET-car[44] - SUMO-car[14]: -27173565#3
OMNET-car[45] - SUMO-car[140]: 44737275#0
OMNET-car[46] - SUMO-car[142]: 44737275#1
OMNET-car[47] - SUMO-car[143]: 44737275#1
OMNET-car[48] - SUMO-car[144]: 519998161#0
OMNET-car[49] - SUMO-car[145]: 519998161#0
OMNET-car[50] - SUMO-car[146]: 519998162#0
OMNET-car[51] - SUMO-car[147]: 519998162#0
OMNET-car[52] - SUMO-car[148]: 519998878#0
OMNET-car[53] - SUMO-car[149]: 519998878#0
OMNET-car[54] - SUMO-car[15]: -27173565#3
OMNET-car[55] - SUMO-car[150]: 519998878#1
OMNET-car[56] - SUMO-car[151]: 519998879#0
OMNET-car[57] - SUMO-car[152]: 519998879#0
OMNET-car[58] - SUMO-car[153]: 7971522#10
OMNET-car[59] - SUMO-car[154]: 7971522#10
OMNET-car[60] - SUMO-car[155]: 7971522#14
OMNET-car[61] - SUMO-car[156]: 7971522#14
OMNET-car[62] - SUMO-car[157]: 7971522#15
OMNET-car[63] - SUMO-car[158]: 7971522#15
OMNET-car[64] - SUMO-car[159]: 7971522#3
OMNET-car[65] - SUMO-car[16]: -392502706
OMNET-car[66] - SUMO-car[160]: 7971522#3
