OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[1]: -195664261#0
OMNET-car[2] - SUMO-car[10]: -219137730#1
OMNET-car[3] - SUMO-car[100]: 195664263#2
OMNET-car[4] - SUMO-car[101]: 219137730#1
OMNET-car[5] - SUMO-car[102]: 219137730#1
OMNET-car[6] - SUMO-car[103]: 219137730#1
OMNET-car[7] - SUMO-car[104]: 24222380#1
OMNET-car[8] - SUMO-car[105]: 24222380#1
OMNET-car[9] - SUMO-car[106]: 24222380#1
OMNET-car[10] - SUMO-car[107]: 24222380#4
OMNET-car[11] - SUMO-car[108]: 24222380#4
OMNET-car[12] - SUMO-car[109]: 24222380#4
OMNET-car[13] - SUMO-car[11]: -219137730#1
OMNET-car[14] - SUMO-car[110]: 24222380#7
OMNET-car[15] - SUMO-car[111]: 24222380#7
OMNET-car[16] - SUMO-car[112]: 24222380#7
OMNET-car[17] - SUMO-car[113]: 24791395#1
OMNET-car[18] - SUMO-car[114]: 24791395#1
OMNET-car[19] - SUMO-car[115]: 24791395#1
OMNET-car[20] - SUMO-car[116]: 24791395#4
OMNET-car[21] - SUMO-car[117]: 24791395#4
OMNET-car[22] - SUMO-car[118]: 24791395#4
OMNET-car[23] - SUMO-car[119]: 24791406#1
OMNET-car[24] - SUMO-car[12]: -219137730#1
OMNET-car[25] - SUMO-car[120]: 24791406#1
OMNET-car[26] - SUMO-car[121]: 24791406#1
OMNET-car[27] - SUMO-car[122]: 24791406#4
OMNET-car[28] - SUMO-car[123]: 24791406#4
OMNET-car[29] - SUMO-car[124]: 24791406#4
OMNET-car[30] - SUMO-car[125]: 24791417#1
OMNET-car[31] - SUMO-car[126]: 24791417#1
OMNET-car[32] - SUMO-car[127]: 24791417#1
OMNET-car[33] - SUMO-car[128]: 248905968
OMNET-car[34] - SUMO-car[13]: -26568013#1
OMNET-car[35] - SUMO-car[131]: 255327642#9
OMNET-car[36] - SUMO-car[132]: 255327642#9
OMNET-car[37] - SUMO-car[133]: 255327642#9
OMNET-car[38] - SUMO-car[134]: 26568013#1
OMNET-car[39] - SUMO-car[135]: 27173565#2
OMNET-car[40] - SUMO-car[136]: 27173565#2
OMNET-car[41] - SUMO-car[137]: 27173565#2
OMNET-car[42] - SUMO-car[138]: 27173565#3
OMNET-car[43] - SUMO-car[139]: 27173565#3
OMNET-car[44] - SUMO-car[14]: -27173565#2
OMNET-car[45] - SUMO-car[140]: 27173565#3
OMNET-car[46] - SUMO-car[141]: 302644186#1
OMNET-car[47] - SUMO-car[142]: 302644186#1
OMNET-car[48] - SUMO-car[143]: 302644186#1
OMNET-car[49] - SUMO-car[144]: 302644186#4
OMNET-car[50] - SUMO-car[145]: 302644186#4
OMNET-car[51] - SUMO-car[146]: 302644186#4
OMNET-car[52] - SUMO-car[147]: 302644186#7
OMNET-car[53] - SUMO-car[148]: 302644186#7
OMNET-car[54] - SUMO-car[149]: 302644186#7
OMNET-car[55] - SUMO-car[15]: -27173565#2
OMNET-car[56] - SUMO-car[150]: 303407852#5
OMNET-car[57] - SUMO-car[151]: 303407852#5
OMNET-car[58] - SUMO-car[152]: 303407852#5
OMNET-car[59] - SUMO-car[153]: 334741193#0
OMNET-car[60] - SUMO-car[154]: 334741193#0
OMNET-car[61] - SUMO-car[155]: 334741193#0
OMNET-car[62] - SUMO-car[156]: 334741193#2
OMNET-car[63] - SUMO-car[157]: 334741193#2
OMNET-car[64] - SUMO-car[158]: 334741193#3
OMNET-car[65] - SUMO-car[159]: 334741193#3
OMNET-car[66] - SUMO-car[16]: -27173565#2
OMNET-car[67] - SUMO-car[160]: 334741193#3
OMNET-car[68] - SUMO-car[161]: 334741193#7
OMNET-car[69] - SUMO-car[162]: 334741193#7
OMNET-car[70] - SUMO-car[163]: 334741193#7
OMNET-car[71] - SUMO-car[164]: 334741193#8
OMNET-car[72] - SUMO-car[165]: 334741193#8
OMNET-car[73] - SUMO-car[166]: 334741193#8
OMNET-car[74] - SUMO-car[167]: 334741194
OMNET-car[75] - SUMO-car[168]: 334741194
OMNET-car[76] - SUMO-car[169]: 334741194
OMNET-car[77] - SUMO-car[17]: -27173565#3
OMNET-car[78] - SUMO-car[170]: 363359196#0
OMNET-car[79] - SUMO-car[171]: 363359196#0
OMNET-car[80] - SUMO-car[172]: 363359196#0
OMNET-car[81] - SUMO-car[173]: 384969638#1
OMNET-car[82] - SUMO-car[174]: 384969638#1
OMNET-car[83] - SUMO-car[175]: 384969638#1
OMNET-car[84] - SUMO-car[176]: 392502704#0
OMNET-car[85] - SUMO-car[177]: 392502704#0
OMNET-car[86] - SUMO-car[178]: 392502704#0
OMNET-car[87] - SUMO-car[179]: 392502705#0
OMNET-car[88] - SUMO-car[18]: -27173565#3
OMNET-car[89] - SUMO-car[180]: 392502705#1
OMNET-car[90] - SUMO-car[181]: 392502705#1
OMNET-car[91] - SUMO-car[182]: 392502706
OMNET-car[92] - SUMO-car[183]: 43410335#1
OMNET-car[93] - SUMO-car[184]: 43410335#1
OMNET-car[94] - SUMO-car[185]: 43410335#1
OMNET-car[95] - SUMO-car[186]: 43759960#0
OMNET-car[96] - SUMO-car[187]: 43759960#0
OMNET-car[97] - SUMO-car[188]: 43759960#0
OMNET-car[98] - SUMO-car[189]: 43759962#0
OMNET-car[99] - SUMO-car[19]: -27173565#3
OMNET-car[100] - SUMO-car[190]: 43759962#0
OMNET-car[101] - SUMO-car[191]: 43759962#0
OMNET-car[102] - SUMO-car[192]: 44737274#1
OMNET-car[103] - SUMO-car[193]: 44737274#2
OMNET-car[104] - SUMO-car[194]: 44737274#2
