OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[1]: -195664261#0
OMNET-car[2] - SUMO-car[10]: -195664262
OMNET-car[3] - SUMO-car[100]: 14481788#1
OMNET-car[4] - SUMO-car[101]: 14481788#1
OMNET-car[5] - SUMO-car[102]: 14771608
OMNET-car[6] - SUMO-car[103]: 187020465#0
OMNET-car[7] - SUMO-car[104]: 187020466
OMNET-car[8] - SUMO-car[105]: 187020466
OMNET-car[9] - SUMO-car[106]: 187020467
OMNET-car[10] - SUMO-car[107]: 187020467
OMNET-car[11] - SUMO-car[108]: 187020467
OMNET-car[12] - SUMO-car[109]: 187020468
OMNET-car[13] - SUMO-car[11]: -195664262
OMNET-car[14] - SUMO-car[110]: 195664261#0
OMNET-car[15] - SUMO-car[111]: 195664261#0
OMNET-car[16] - SUMO-car[112]: 195664261#0
OMNET-car[17] - SUMO-car[113]: 195664261#0
OMNET-car[18] - SUMO-car[114]: 195664261#2
OMNET-car[19] - SUMO-car[115]: 195664261#2
OMNET-car[20] - SUMO-car[116]: 195664261#2
OMNET-car[21] - SUMO-car[117]: 195664261#2
OMNET-car[22] - SUMO-car[118]: 195664262
OMNET-car[23] - SUMO-car[119]: 195664262
OMNET-car[24] - SUMO-car[12]: -219137730#1
OMNET-car[25] - SUMO-car[120]: 195664262
OMNET-car[26] - SUMO-car[121]: 195664263#2
OMNET-car[27] - SUMO-car[122]: 195664263#2
OMNET-car[28] - SUMO-car[123]: 195664263#2
OMNET-car[29] - SUMO-car[124]: 195664263#2
OMNET-car[30] - SUMO-car[125]: 219137730#1
OMNET-car[31] - SUMO-car[126]: 219137730#1
OMNET-car[32] - SUMO-car[127]: 219137730#1
OMNET-car[33] - SUMO-car[128]: 219137730#1
OMNET-car[34] - SUMO-car[129]: 24222380#1
OMNET-car[35] - SUMO-car[13]: -219137730#1
OMNET-car[36] - SUMO-car[130]: 24222380#1
OMNET-car[37] - SUMO-car[131]: 24222380#1
OMNET-car[38] - SUMO-car[132]: 24222380#1
OMNET-car[39] - SUMO-car[133]: 24222380#4
OMNET-car[40] - SUMO-car[134]: 24222380#4
OMNET-car[41] - SUMO-car[135]: 24222380#4
OMNET-car[42] - SUMO-car[136]: 24222380#4
OMNET-car[43] - SUMO-car[137]: 24222380#7
OMNET-car[44] - SUMO-car[138]: 24222380#7
OMNET-car[45] - SUMO-car[139]: 24222380#7
OMNET-car[46] - SUMO-car[14]: -219137730#1
OMNET-car[47] - SUMO-car[140]: 24222380#7
OMNET-car[48] - SUMO-car[141]: 24791395#1
OMNET-car[49] - SUMO-car[142]: 24791395#1
OMNET-car[50] - SUMO-car[143]: 24791395#1
OMNET-car[51] - SUMO-car[144]: 24791395#1
OMNET-car[52] - SUMO-car[145]: 24791395#4
OMNET-car[53] - SUMO-car[146]: 24791395#4
OMNET-car[54] - SUMO-car[147]: 24791395#4
OMNET-car[55] - SUMO-car[148]: 24791395#4
OMNET-car[56] - SUMO-car[149]: 24791406#1
OMNET-car[57] - SUMO-car[15]: -219137730#1
OMNET-car[58] - SUMO-car[150]: 24791406#1
OMNET-car[59] - SUMO-car[151]: 24791406#1
OMNET-car[60] - SUMO-car[152]: 24791406#1
