OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[10]: -43759962#0
OMNET-car[2] - SUMO-car[100]: 8029920#8
OMNET-car[3] - SUMO-car[101]: 8029920#8
OMNET-car[4] - SUMO-car[102]: 8029920#8
OMNET-car[5] - SUMO-car[103]: 8029934#10
OMNET-car[6] - SUMO-car[104]: 8029934#10
OMNET-car[7] - SUMO-car[105]: 8029934#10
OMNET-car[8] - SUMO-car[106]: 8029934#13
OMNET-car[9] - SUMO-car[107]: 8029934#13
OMNET-car[10] - SUMO-car[108]: 8029934#13
OMNET-car[11] - SUMO-car[109]: 8029934#15
OMNET-car[12] - SUMO-car[11]: -43759962#0
OMNET-car[13] - SUMO-car[110]: 8029934#15
OMNET-car[14] - SUMO-car[111]: 8029934#15
OMNET-car[15] - SUMO-car[112]: 8029934#16
OMNET-car[16] - SUMO-car[113]: 8029934#16
OMNET-car[17] - SUMO-car[114]: 8029934#16
OMNET-car[18] - SUMO-car[115]: 83668209#1
OMNET-car[19] - SUMO-car[116]: 83668209#1
OMNET-car[20] - SUMO-car[117]: 83668209#1
OMNET-car[21] - SUMO-car[118]: 83668215#0
OMNET-car[22] - SUMO-car[119]: 83668215#0
OMNET-car[23] - SUMO-car[12]: -43759962#0
OMNET-car[24] - SUMO-car[120]: 83668215#0
OMNET-car[25] - SUMO-car[121]: 868615045#1
OMNET-car[26] - SUMO-car[122]: 868615045#1
OMNET-car[27] - SUMO-car[123]: 868615045#1
OMNET-car[28] - SUMO-car[124]: 868615045#2
OMNET-car[29] - SUMO-car[125]: 868615045#2
OMNET-car[30] - SUMO-car[126]: 868615045#2
OMNET-car[31] - SUMO-car[127]: 868615045#4
OMNET-car[32] - SUMO-car[128]: 868615045#4
OMNET-car[33] - SUMO-car[129]: 868615045#4
OMNET-car[34] - SUMO-car[13]: -83668209#1
OMNET-car[35] - SUMO-car[130]: 868615045#6
OMNET-car[36] - SUMO-car[131]: 868615045#6
OMNET-car[37] - SUMO-car[132]: 868615045#6
OMNET-car[38] - SUMO-car[133]: 868615046#1
OMNET-car[39] - SUMO-car[134]: 868615046#1
OMNET-car[40] - SUMO-car[135]: 868615046#1
OMNET-car[41] - SUMO-car[136]: 868615046#10
OMNET-car[42] - SUMO-car[137]: 868615046#10
OMNET-car[43] - SUMO-car[138]: 868615046#10
OMNET-car[44] - SUMO-car[139]: 868615046#4
OMNET-car[45] - SUMO-car[14]: -83668209#1
OMNET-car[46] - SUMO-car[140]: 868615046#4
OMNET-car[47] - SUMO-car[141]: 868615046#4
OMNET-car[48] - SUMO-car[142]: 868615046#6
OMNET-car[49] - SUMO-car[143]: 868615046#6
OMNET-car[50] - SUMO-car[144]: 868615046#6
OMNET-car[51] - SUMO-car[145]: 868615046#9
OMNET-car[52] - SUMO-car[146]: 868615046#9
OMNET-car[53] - SUMO-car[147]: 868615046#9
OMNET-car[54] - SUMO-car[15]: -83668209#1
OMNET-car[55] - SUMO-car[16]: -83668213#1
OMNET-car[56] - SUMO-car[17]: -83668213#1
OMNET-car[57] - SUMO-car[18]: -83668213#1
OMNET-car[58] - SUMO-car[19]: -83668215#0
OMNET-car[59] - SUMO-car[2]: -27173565#2
OMNET-car[60] - SUMO-car[20]: -83668215#0
OMNET-car[61] - SUMO-car[21]: -83668215#0
OMNET-car[62] - SUMO-car[22]: 131431668#0
OMNET-car[63] - SUMO-car[23]: 131431668#0
OMNET-car[64] - SUMO-car[24]: 131431668#0
OMNET-car[65] - SUMO-car[25]: 131431668#1
OMNET-car[66] - SUMO-car[26]: 131431668#1
OMNET-car[67] - SUMO-car[27]: 131431668#1
OMNET-car[68] - SUMO-car[28]: 14369724#1
OMNET-car[69] - SUMO-car[29]: 14369724#1
OMNET-car[70] - SUMO-car[3]: -27173565#2
OMNET-car[71] - SUMO-car[30]: 14369724#1
OMNET-car[72] - SUMO-car[31]: 14369724#2
OMNET-car[73] - SUMO-car[32]: 14369724#2
OMNET-car[74] - SUMO-car[33]: 14369724#2
OMNET-car[75] - SUMO-car[34]: 14771608
OMNET-car[76] - SUMO-car[36]: 195664263#2
OMNET-car[77] - SUMO-car[37]: 195664263#2
OMNET-car[78] - SUMO-car[38]: 195664263#2
OMNET-car[79] - SUMO-car[39]: 24791395#1
OMNET-car[80] - SUMO-car[4]: -27173565#2
OMNET-car[81] - SUMO-car[40]: 24791395#1
OMNET-car[82] - SUMO-car[41]: 24791395#1
OMNET-car[83] - SUMO-car[42]: 24791395#4
OMNET-car[84] - SUMO-car[43]: 24791395#4
OMNET-car[85] - SUMO-car[44]: 24791395#4
OMNET-car[86] - SUMO-car[45]: 24791406#4
OMNET-car[87] - SUMO-car[46]: 24791406#4
OMNET-car[88] - SUMO-car[47]: 24791406#4
OMNET-car[89] - SUMO-car[48]: 24791417#1
OMNET-car[90] - SUMO-car[49]: 24791417#1
OMNET-car[91] - SUMO-car[5]: -392502706
OMNET-car[92] - SUMO-car[50]: 24791417#1
OMNET-car[93] - SUMO-car[51]: 27173565#2
