OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[1]: -195664261#0
OMNET-car[2] - SUMO-car[10]: -195664262
OMNET-car[3] - SUMO-car[100]: 24791406#1
OMNET-car[4] - SUMO-car[101]: 24791406#1
OMNET-car[5] - SUMO-car[102]: 24791406#4
OMNET-car[6] - SUMO-car[103]: 24791417#1
OMNET-car[7] - SUMO-car[104]: 24791417#1
OMNET-car[8] - SUMO-car[105]: 24791417#1
OMNET-car[9] - SUMO-car[106]: 248905968
OMNET-car[10] - SUMO-car[107]: 255327642#9
OMNET-car[11] - SUMO-car[108]: 255327642#9
OMNET-car[12] - SUMO-car[109]: 255327642#9
OMNET-car[13] - SUMO-car[11]: -219137730#1
OMNET-car[14] - SUMO-car[110]: 255327642#9
OMNET-car[15] - SUMO-car[111]: 255327642#9
OMNET-car[16] - SUMO-car[112]: 27173565#3
OMNET-car[17] - SUMO-car[113]: 27173565#3
OMNET-car[18] - SUMO-car[114]: 302644186#1
OMNET-car[19] - SUMO-car[115]: 302644186#1
OMNET-car[20] - SUMO-car[116]: 302644186#1
OMNET-car[21] - SUMO-car[117]: 302644186#1
OMNET-car[22] - SUMO-car[118]: 302644186#1
OMNET-car[23] - SUMO-car[119]: 302644186#4
OMNET-car[24] - SUMO-car[12]: -219137730#1
OMNET-car[25] - SUMO-car[120]: 302644186#4
OMNET-car[26] - SUMO-car[121]: 302644186#4
OMNET-car[27] - SUMO-car[122]: 302644186#4
OMNET-car[28] - SUMO-car[123]: 302644186#4
OMNET-car[29] - SUMO-car[124]: 302644186#7
OMNET-car[30] - SUMO-car[125]: 302644186#7
OMNET-car[31] - SUMO-car[126]: 302644186#7
OMNET-car[32] - SUMO-car[127]: 303407852#5
OMNET-car[33] - SUMO-car[128]: 303407852#5
OMNET-car[34] - SUMO-car[129]: 303407852#5
OMNET-car[35] - SUMO-car[13]: -219137730#1
OMNET-car[36] - SUMO-car[130]: 334741193#0
OMNET-car[37] - SUMO-car[131]: 334741193#0
OMNET-car[38] - SUMO-car[132]: 334741193#2
OMNET-car[39] - SUMO-car[133]: 334741193#2
OMNET-car[40] - SUMO-car[134]: 334741193#7
OMNET-car[41] - SUMO-car[135]: 334741193#7
OMNET-car[42] - SUMO-car[136]: 334741193#8
OMNET-car[43] - SUMO-car[137]: 334741193#8
OMNET-car[44] - SUMO-car[138]: 334741193#8
OMNET-car[45] - SUMO-car[139]: 334741193#8
OMNET-car[46] - SUMO-car[14]: -26568013#1
OMNET-car[47] - SUMO-car[140]: 334741193#8
OMNET-car[48] - SUMO-car[141]: 334741194
OMNET-car[49] - SUMO-car[142]: 334741194
OMNET-car[50] - SUMO-car[143]: 363359196#0
OMNET-car[51] - SUMO-car[144]: 363359196#0
OMNET-car[52] - SUMO-car[145]: 363359196#0
OMNET-car[53] - SUMO-car[146]: 363359196#0
OMNET-car[54] - SUMO-car[147]: 363359196#0
OMNET-car[55] - SUMO-car[148]: 384969638#1
OMNET-car[56] - SUMO-car[149]: 384969638#1
OMNET-car[57] - SUMO-car[15]: -392502706
OMNET-car[58] - SUMO-car[150]: 384969638#1
OMNET-car[59] - SUMO-car[151]: 392502704#0
OMNET-car[60] - SUMO-car[152]: 392502704#0
